step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
293,65674,586,0.02158751140187905,0.5,0.8,,,,,,,,,
294,65900,588,0.02557589017570796,0.5,0.8,,,,,,,,,
295,66126,590,0.029394588104655024,0.5,0.8,,,,,,,,,
296,66352,592,0.03172518880478524,0.5,0.8,,,,,,,,,
297,66562,594,0.030998435748031346,0.0,0.5,0.02569204712863393,1.0,1.0,,,,,,
298,66692,596,0.032396359551131015,0.5,0.8,,,,,,,,,
299,66918,598,0.035991926190424364,0.0,0.6666666666666666,,,,,,,,,
300,67176,600,0.020960096187244513,1.0,1.0,,,,,,,,,
301,67434,602,0.03148251153784458,0.0,0.6666666666666666,,,,,,,,,
302,67676,604,0.029791068840388714,0.5,0.8,,,,,,,,,
303,67790,606,0.033721981996886176,0.5,0.8,,,,,,,,,
304,68016,608,0.03407618487267623,0.5,0.8,,,,,,,,,
305,68226,610,0.03187263323705268,1.0,1.0,0.024656618056554603,1.0,1.0,,,,,,
306,68468,612,0.02390755099109143,1.0,1.0,,,,,,,,,
307,68710,614,0.027656032040972906,1.0,1.0,,,,,,,,,
308,68968,616,0.034509624806912026,0.0,0.5,,,,,,,,,
309,69210,618,0.03347371833815032,0.0,0.5,,,,,,,,,
310,69452,620,0.026471131587670393,1.0,1.0,,,,,,,,,
311,69582,622,0.02976832340538977,1.0,1.0,,,,,,,,,
312,69872,624,0.029134657530901983,0.5,0.8,,,,,,,,,
313,70098,626,0.029959137567714796,0.5,0.8,0.020363732718219864,1.0,1.0,,,,,,
314,70244,628,0.028609518615231644,0.5,0.8,,,,,,,,,
315,70390,630,0.031897568940148634,0.5,0.8,,,,,,,,,
316,70632,632,0.03167717651551296,1.0,1.0,,,,,,,,,
317,70858,634,0.026468149027200523,0.5,0.8333333333333334,,,,,,,,,
318,71020,636,0.03082546175179004,0.5,0.75,,,,,,,,,
319,71262,638,0.024113243960286433,0.0,0.6,,,,,,,,,
320,71504,640,0.028372006934360795,1.0,1.0,,,,,,,,,
321,71746,642,0.03488372595036223,0.5,0.75,0.036069951152698725,0.5,0.8,,,,,,
322,72020,644,0.03467112192160719,0.5,0.8,,,,,,,,,
323,72246,646,0.023315331929293283,1.0,1.0,,,,,,,,,
324,72392,648,0.02912768391309681,0.5,0.8,,,,,,,,,
325,72586,650,0.03529296990404835,0.0,0.6666666666666666,,,,,,,,,
326,72828,652,0.028076425435896453,0.5,0.8,,,,,,,,,
327,73054,654,0.030352567333263292,0.0,0.6666666666666666,,,,,,,,,
328,73344,656,0.030947637971453834,0.0,0.6666666666666666,,,,,,,,,
329,73458,658,0.03994264414680921,0.5,0.75,0.02953596937775033,0.5,0.8,,,,,,
330,73652,660,0.02633570739882785,0.5,0.8,,,,,,,,,
331,73894,662,0.02986272659305966,0.5,0.8,,,,,,,,,
332,74136,664,0.02447646819127537,1.0,1.0,,,,,,,,,
333,74378,666,0.02790132671320195,0.0,0.6,,,,,,,,,
334,74620,668,0.022468257812969263,0.5,0.8333333333333334,,,,,,,,,
335,74862,670,0.027500350680028228,0.5,0.8,,,,,,,,,
336,74976,672,0.024317910793823623,1.0,1.0,,,,,,,,,
337,75218,674,0.03721073218856812,0.5,0.75,0.021893511310280805,0.5,0.8333333333333334,,,,,,
338,75412,676,0.026179537614793084,1.0,1.0,,,,,,,,,
339,75734,678,0.01982294519864081,0.5,0.75,,,,,,,,,
340,75944,680,0.032418085740039265,0.0,0.5,,,,,,,,,
341,76074,682,0.028159326990377168,1.0,1.0,,,,,,,,,
342,76348,684,0.028426415959869004,0.0,0.6666666666666666,,,,,,,,,
343,76574,686,0.029187870764803843,0.5,0.8,,,,,,,,,
344,76896,688,0.018420858579895935,0.5,0.8,,,,,,,,,
345,77154,690,0.04076466124628553,0.0,0.6666666666666666,0.026969210289133416,0.0,0.6666666666666666,,,,,,
346,77300,692,0.03573882313405799,0.5,0.8333333333333334,,,,,,,,,
347,77558,694,0.025487070838066193,1.0,1.0,,,,,,,,,
348,77688,696,0.027789735817455037,1.0,1.0,,,,,,,,,
349,77930,698,0.021089348953920305,1.0,1.0,,,,,,,,,
350,78172,700,0.026044180047053483,0.5,0.8,,,,,,,,,
351,78318,702,0.03010496778959755,0.5,0.8,,,,,,,,,
352,78560,704,0.03926714336470771,0.5,0.8,,,,,,,,,
353,78834,706,0.03749715731543106,0.0,0.5,0.024696180077947244,1.0,1.0,,,,,,
354,79044,708,0.044651545121635605,0.0,0.5,,,,,,,,,
355,79270,710,0.026664263430565306,0.5,0.8,,,,,,,,,
356,79560,712,0.017984091544804213,1.0,1.0,,,,,,,,,
357,79818,714,0.02732654302705214,0.5,0.8,,,,,,,,,
358,79932,716,0.04039671407906358,0.5,0.8,,,,,,,,,
359,80158,718,0.026485997924713896,0.5,0.8,,,,,,,,,
360,80352,720,0.03619606514728048,0.0,0.6666666666666666,,,,,,,,,
361,80466,722,0.041361303952493725,0.5,0.8333333333333334,0.02579413710770435,0.5,0.8333333333333334,,,,,,
362,80708,724,0.03692689473792355,0.5,0.8,,,,,,,,,
363,80918,726,0.021389514362910207,1.0,1.0,,,,,,,,,
364,81128,728,0.02269793010273693,1.0,1.0,,,,,,,,,
365,81354,730,0.03185255079925614,1.0,1.0,,,,,,,,,
366,81516,732,0.03367388885900573,1.0,1.0,,,,,,,,,
367,81774,734,0.019799127273988977,1.0,1.0,,,,,,,,,
368,82016,736,0.027731322236650462,0.5,0.8,,,,,,,,,
369,82210,738,0.03010689710307361,0.5,0.8,0.02474166409456893,0.5,0.8,,,,,,
370,82436,740,0.031082645172358533,1.0,1.0,,,,,,,,,
371,82534,742,0.03245379351558123,1.0,1.0,,,,,,,,,
372,82792,744,0.024785329223217332,1.0,1.0,,,,,,,,,
373,82938,746,0.03240439052365319,0.5,0.8,,,,,,,,,
374,83068,748,0.037285397074958836,0.5,0.8,,,,,,,,,
375,83294,750,0.030264781113985544,0.5,0.8,,,,,,,,,
376,83456,752,0.02164931670277065,1.0,1.0,,,,,,,,,
377,83618,754,0.03855491305280338,0.5,0.8,0.031497675329854855,0.5,0.8,,,,,,
378,83844,756,0.029132985753081552,0.5,0.8,,,,,,,,,
